BODEGA,CODIGO,NEW_MAX
173,0000128716,13.0
173,0000135482,12.0
173,29666,12.0
173,0000101880,18.0
173,0000134648,17.0
173,0000101842,21.0
173,0000122765,23.0
173,0000101699,12.0
173,08549,17.0
173,0000135011,16.0
173,05658,12.0
173,0000119133,13.0
173,0000132254,16.0
173,0000119996,14.0
173,0000122885,23.0
173,07289,21.0
173,00424,12.0
173,10863,12.0
173,0000116833,12.0
173,13373,23.0
173,02308,19.0
173,12907,15.0
173,0000123981,12.0
173,16603,12.0
173,0000111555,18.0
173,0000119134,23.0
173,0000130762,23.0
173,02211,13.0
173,06231,12.0
173,04663,12.0
173,12057,12.0
173,0000134848,12.0
173,08235,15.0
173,04499,12.0
173,0000125443,12.0
173,0000116832,12.0
173,0000127096,17.0
173,0000125113,17.0
173,05878,18.0
173,02346,12.0
173,0000123547,12.0
173,0000127010,19.0
173,0000130141,21.0
173,16636,13.0
173,0000123558,3.0
173,0000122979,3.0
173,0000141878,3.0
173,16490,3.0
173,0000111937,3.0
173,12505,3.0
173,04064,3.0
173,0000131356,3.0
173,0000104163,3.0
173,0000101841,3.0
173,0000134878,3.0
173,0000129937,3.0
173,04107,3.0
173,0000132281,3.0
173,0000129816,3.0
173,0000131677,3.0
173,0000115286,3.0
173,0000124092,3.0
173,06143,3.0
173,07489,3.0
173,0000129934,3.0
173,06984,3.0
173,0000103925,3.0
173,13277,3.0
173,07363,3.0
173,12132,3.0
173,0000129873,3.0
173,0000135241,3.0
173,0000120688,3.0
173,0000119797,3.0
173,0000128038,3.0
173,24488,3.0
173,0000133289,3.0
173,0000138031,3.0
173,05722,3.0
173,0000129909,3.0
173,0000130218,3.0
173,0000126756,3.0
173,20037,3.0
173,0000125043,3.0
173,0000122949,3.0
173,0000118629,3.0
173,0000116689,3.0
173,06701,3.0
173,0000140830,3.0
173,04104,3.0
173,0000115444,3.0
173,0000103897,3.0
173,05793,3.0
173,0000118877,3.0
173,05430,3.0
173,0000110416,3.0
173,0000128032,3.0
173,0000119325,3.0
173,0000120655,3.0
173,0000127043,3.0
173,0000117416,3.0
173,0000135372,3.0
173,0000120527,3.0
173,0000121485,3.0
173,0000128947,3.0
173,0000133635,3.0
173,08893,3.0
173,09408,3.0
173,15073,3.0
173,0000127190,3.0
173,0000135201,3.0
173,06852,3.0
173,12337,3.0
173,09984,3.0
173,07214,3.0
173,0000141636,3.0
173,0000137889,3.0
173,0000139746,3.0
173,13619,3.0
173,0000100079,3.0
173,0000136952,3.0
173,13598,3.0
173,00694,3.0
173,0000130856,3.0
173,0000141217,3.0
173,17655,3.0
173,0000134448,3.0
173,0000128710,3.0
173,0000135573,3.0
173,0000128245,3.0
173,0000105073,3.0
173,0000128616,3.0
173,09198,3.0
173,07563,3.0
173,0000136259,3.0
173,09256,3.0
173,0000128108,3.0
173,09123,3.0
173,0000109090,3.0
173,07971,3.0
173,0000134230,3.0
173,0000119882,3.0
173,0000132425,3.0
173,0000114085,3.0
173,0000135525,3.0
173,05135,3.0
173,0000133597,3.0
173,07161,3.0
173,0000133642,3.0
173,13195,3.0
173,11109,3.0
173,0000105569,3.0
173,0000136376,3.0
173,09715,3.0
173,0000135940,3.0
173,04520,3.0
173,0000106794,3.0
173,0000116874,3.0
173,06270,3.0
173,0000120689,3.0
173,08149,3.0
173,09649,3.0
173,08876,3.0
173,0000125137,3.0
173,0000108664,3.0
173,0000126746,3.0
173,20373,3.0
173,13435,3.0
173,14343,3.0
173,0000117152,3.0
173,12313,3.0
173,0000131609,3.0
173,0000107359,3.0
173,0000134153,3.0
173,0000135131,3.0
173,0000108301,3.0
173,0000137886,3.0
173,0000130646,3.0
173,0000130456,3.0
173,0000109077,3.0
173,0000136770,3.0
173,0000116920,3.0
173,0000133060,3.0
173,0000121456,3.0
173,0000113135,3.0
173,0000132361,3.0
