BODEGA,CODIGO,NEW_MAX
004,0000125009,4
004,01530,7
004,08876,4
005,0000127076,2
005,0000129920,4
008,0000135799,2
008,00020,4
008,01575,8
008,08616,2
009,0000119204,3
009,0000126916,2
009,00185,2
010,0000124357,4
010,0000132428,11
011,0000133459,4
011,04831,4
011,07448,4
013,0000121674,4
013,0000132066,4
017,01490,4
017,12502,11
018,0000112182,8
029,0000109095,2
029,0000138174,2
029,01530,8
029,05531,4
029,06927,2
029,08816,4
033,09072,4
036,0000132108,2
036,0000139588,2
036,00742,2
037,0000115766,4
037,0000126916,2
038,0000135201,8
040,0000112863,3
040,0000121432,3
040,0000125017,3
040,0000128173,3
040,0000138516,4
040,0000141758,4
040,06078,11
044,12432,4
044,13345,4
048,0000132335,2
050,0000120649,4
050,0000138222,4
051,0000129944,2
054,07970,4
056,05951,10
057,0000121087,4
057,0000126395,4
058,0000109536,5
058,10302,5
060,01530,4
064,0000128954,7
065,0000118506,4
065,0000120648,4
065,05658,8
066,0000110868,4
066,0000122007,4
069,0000129816,2
069,0000132588,2
075,0000123564,4
075,0000123981,7
075,10436,7
079,0000132828,3
079,05668,3
079,08715,3
080,19158,4
081,0000102466,12
081,0000140707,2
081,07235,4
088,0000127098,5
090,07881,4
090,08235,8
090,22395,4
091,0000106602,2
091,0000137784,2
091,08517,2
1002,0000108961,4
1002,09466,4
1002,09859,4
1003,0000131624,2
1003,13413,2
101,0000114674,2
101,0000119797,2
1015,04572,10
1015,05751,6
1019,05381,4
1020,09404,4
1022,10303,4
1022,19803,8
1024,0000125103,8
1024,00942,4
1024,14595,4
1025,04203,8
103,0000126408,2
103,0000134807,2
1032,0000121312,7
1032,08541,7
1032,08623,4
1037,0000130853,2
1037,13894,4
1039,0000137774,2
1042,21254,4
1044,05366,4
1045,0000136384,2
1046,0000140760,2
1046,08147,4
1046,14633,2
1052,08488,5
106,0000116389,4
106,09198,6
109,0000119440,3
109,0000126356,9
1096,06143,6
1096,12788,12
110,06078,5
1103,0000114057,2
1103,0000115322,2
1105,0000110868,3
1105,0000130661,2
1105,19872,2
1106,0000110233,2
1106,0000128985,2
1107,0000135574,2
1107,12324,3
1109,0000131553,4
1110,0000131632,2
1113,12595,3
1120,0000128610,2
1124,09247,2
1126,0000107359,2
1126,0000114468,8
1126,0000134998,4
1126,29952,2
1127,0000116213,2
1127,0000122762,4
113,0000123551,4
113,0000124206,4
113,0000124342,4
113,24140,7
1130,10863,5
1131,0000123090,4
1131,0000134418,4
1134,0000112711,5
115,28588,7
117,0000136714,4
117,02147,4
125,0000125241,2
125,0000131889,2
125,0000134893,4
